title,company,location,job_type,date_posted
Learning and culture Intern,Heifer International,"Dakar, Sénégal",Stage,Publié le 13 mai 2025
Economiste,FMI,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Chauffeur,FMI,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Senior Gender and Economic Inclusion Investment / Operations Officer,IFC,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Human Ressources Business Partner (HRBP),Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,Sindia dans la région de Thiès,CDD,Publié le 12 mai 2025
Developpeur / Developpeuse WordPress,DACCORD SITUATIONDO MORE,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Téléprospecteur Freelance – Travail à distance – Commission uniquement,ADPPromotion du freelancing,"Saly, Sénégal",Freelance,Publié le 12 mai 2025
Téléconseillers expérimentés,SHY Performance SénégalSHY Performance Sénégal,"Mermoz, Les Voies de l'Alternance",CDD,Publié le 12 mai 2025
Agent Commercial,Holly Trans Limited,"Médina, Dakar, Sénégal",Stage,Publié le 12 mai 2025
Technicien Télécoms,Afric Management,"Matam, Sénégal",CDD,Publié le 12 mai 2025
OPC,Atyx,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Resource Development & Management Advisor,World Vision International,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Country Growth Operations Lead,Wave,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Country Launcher,Wave,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Agent technique opérationnel et activités externalisées,GBG,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Responsable animation marketing et activation sponsoring,GBG,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Assistant RH chargé de la paie,GBG,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Technicien contrôle opérationnel et fraude,GBG,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Procurement & Contract Management Consultant,Islamic Development Bank (IsDB),"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Operations Analyst Consultant,Islamic Development Bank (IsDB),"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Commercial Sénior,GPF,"Dakar, Sénégal",CDI,Publié le 12 mai 2025
Technico-Commercial BTP,RMO Sénégal,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Ingénieur Bureau d’étude électrique (chiffreur ayant exercé en bureau d’étude),ETSETS est une société de prestations de services évoluant égalemen,"Cité Keur Gorgui, Dakar, Sénégal",CDD,Publié le 12 mai 2025
Responsable QHSE – BTP,Batichimie,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Directeur Technique (H/F) – BTP,Batichimie,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Directeur Exécutif – BTP,Batichimie,"Dakar, Sénégal",CDD,Publié le 12 mai 2025
Coordonnateur (trice) national (e) de projet,OIT,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Programme Assistant Nutrition,WFP,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Agent HSE,Teranga Manpower,"Matam, Sénégal",CDD,Publié le 9 mai 2025
Comptable,Teranga Manpower,"Matam, Sénégal",CDD,Publié le 9 mai 2025
Assistant(e) de direction (Bilingue),Afri RHAfri RH,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Senior ERP Analayst,Topwork,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Chargé (e) de communication (Bilingue),Afri RH,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Programme and Policy Manager (Bilingue),Afri RH,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Chargé.e des financements institutionnels et des partenariats sous-régional,Secours Islamique,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Driver,UN Women,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Procurement and Logistics Assistant (Maternity Cover),IOM,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Communication Specialist Consultant,UN Women,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Chef d’atelier,GPF,"Dakar, Sénégal",CDD,Publié le 9 mai 2025
Controleur Qualité,"La Laiterie du BergerGueum Gueum, Royukaay, Performer","Sandiara, Dakar, Sénégal",CDI,Publié le 8 mai 2025
Technico Commercial,ENERGIA,"Dakar, Sénégal",CDI,Publié le 8 mai 2025
Agent marketing et affichage,Société sambe marketing,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Graphiste designer,Société sambe marketing,Sénégal,CDD,Publié le 8 mai 2025
Technico-Commerciaux,SMART ENERGIESConception et confection d'armoires électriques,Sénégal,CDD,Publié le 8 mai 2025
